url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/kailh-midnight-pro-silent-45g-tactile-plate-mount-lubed	Kailh Midnight Pro Silent 45g Tactile Plate Mount Lubed Switch	$0.90	MX	Tactile	3	45 cN	Yes	Beige
https://mechanicalkeyboards.com/products/cherry-mx-black-clear-top-nixie	Cherry MX Black Clear Top Nixie 63.5g Linear Switch	$0.42	MX	Linear	5	64 cN		Black
https://mechanicalkeyboards.com/products/mk-switch-tester-tube-linear-formula-953	MK Switch Tester Tube Linear Formula 953	$8.00		Linear			No	
https://mechanicalkeyboards.com/products/ktt-strawberry-43g-linear-pcb-mount-switch	KTT Strawberry 43g Linear PCB Mount Switch	$0.46	MX	Linear	5	43 cN	No	Pink
https://mechanicalkeyboards.com/products/ttc-venus-45g-linear-pcb-mount-switch	TTC Venus 45g Linear PCB Mount Switch	$0.60	MX	Linear	5	45 cN	No	Clear
https://mechanicalkeyboards.com/products/ttc-flaming-purple-42g-linear-pcb-mount	TTC Flaming Purple 42g Linear PCB Mount Switch	$0.60	MX	Linear	5	42 cN	No	Purple
https://mechanicalkeyboards.com/products/gateron-ink-box-v2-black-60g-linear-pcb-mount-lubed-switch	Gateron Ink BOX V2 Black 60g Linear PCB Mount Lubed Switch	$0.95	MX	Linear	5	60 cN	No	Black
https://mechanicalkeyboards.com/products/tecsee-coral-68g-tactile-pcb-mount-switch	Tecsee Coral 68g Tactile PCB Mount Switch	$0.45	MX	Tactile	5	68 cN	No	Orange
https://mechanicalkeyboards.com/products/mk-purple-slush-50g-linear-pcb-mount	MK Purple Slush 50g Linear PCB Mount Switch Frozen Llama Series	$0.42	MX	Linear	5	65 cN	No	Purple
https://mechanicalkeyboards.com/products/cherry-mx-speed-silver-45g-linear	Cherry MX Speed Silver 45g Linear Switch	$0.40	MX	Linear		45 cN	No	Silver
https://mechanicalkeyboards.com/products/durock-t1-67g-tactile-pcb-mount-switch	Durock T1 67g Tactile PCB Mount Switch	$0.60	MX	Tactile	5	67 cN	No	Teal
https://mechanicalkeyboards.com/products/kailh-box-ancient-grey-95g-linear-plate-mount	Kailh BOX Ancient Grey 95g Linear Plate Mount Switch	$0.50	MX	Linear	3	95 cN	No	Grey
https://mechanicalkeyboards.com/products/kailh-polia-45g-tactile-plate-mount	Kailh Polia 45g Tactile Plate Mount Switch	$0.40	MX	Tactile	3	45 cN	No	Purple
https://mechanicalkeyboards.com/products/gateron-g-pro-30-silver-45g-linear-pcb-mount	Gateron G Pro 3.0 Silver 45g Linear PCB Mount Switch	$0.32	MX	Linear	5	45 cN	No	Grey
https://mechanicalkeyboards.com/products/durock-sunflower-pom-t1-67g-tactile-pcb-mount	Durock Sunflower POM T1 67g Tactile PCB Mount	$0.70	MX	Tactile	5	67 cN	No	Yellow
https://mechanicalkeyboards.com/products/kailh-white-owl-v2-46g-clicky-pcb-mount-switch	Kailh White Owl V2 46g Clicky PCB Mount Switch	$0.60	MX	Clicky	5	46 cN	No	White
https://mechanicalkeyboards.com/products/ttc-ace-60g-linear-pcb-mount-lubed-switch	TTC ACE 60g Linear PCB Mount Lubed Switch	$0.60	MX	Linear	5	53 cN	No	Green
https://mechanicalkeyboards.com/products/hmx-fj400-50g-linear-pcb-mount-35-pack	HMX FJ400 50g Linear PCB Mount Switch (35 Pack)	$9.99	MX	Linear	5	2.00 cN		Green
https://mechanicalkeyboards.com/products/gateron-g-pro-30-blue-60g-clicky-pcb-mount	Gateron G Pro 3.0 Blue 60g Clicky PCB Mount Switch	$0.30	MX	Clicky	5	60 cN	No	Blue
https://mechanicalkeyboards.com/products/ttc-tiger-standard-45g-linear-pcb-mount-lubed-switch	TTC Tiger Standard 45g Linear PCB Mount Lubed Switch	$1.25	MX	Linear	5	45 cN	No	Orange
https://mechanicalkeyboards.com/products/kailh-speed-bronze-50g-clicky	Kailh Speed Bronze 50g Clicky Switch	$0.33	MX	Clicky		50 cN	No	Bronze
https://mechanicalkeyboards.com/products/gateron-g-pro-30-yellow-50g-linear-pcb-mount	Gateron G Pro 3.0 Yellow 50g Linear PCB Mount Switch	$0.30	MX	Linear	5	50 cN	No	Yellow
https://mechanicalkeyboards.com/products/wuque-studio-grey-silent-50g-tactile-pcb-mount-switch	Wuque Studio Grey Silent 50g Tactile PCB Mount Switch	$0.42	MX	Tactile	5	50 cN	Yes	Grey
